pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
3857365620010399,TESLA,11111111.0,---,MODEL S,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2013,FABRYCZNY,2013-12-21,2019-06-18,2013-12-21,,,266.0,,2108,,2590.0,2590.0,,,,2.0,15.0,15.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,,59690004000000.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-06-18,2019-07-09,2019-10-01,,2,,
61315519490983,RENAULT,,,18 GTD,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1980,FABRYCZNY,1989-04-13,1999-07-02,,2068.0,,,,1050,,1450.0,,,,,,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,1989-04-13,2019-03-15,2019-03-15,2.0,2,,
82480907025819,MERCEDES,,,200 D,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1975,FABRYCZNY,1975-08-09,1999-07-02,,1988.0,,,,1425,,1825.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,1975-08-09,2019-03-15,2019-03-15,2.0,2,,
52539376351376,FIAT,,,126,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1979,FABRYCZNY,1979-01-01,2004-08-27,,652.0,,0.0,,600,,920.0,920.0,0.0,,0.0,2.0,6.0,6.0,0.0,0.0,4.0,4.0,0.0,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,,,,,,,,,,,,DOLNOŚLĄSKIE,ZĄBKOWICKI,ZĄBKOWICE ŚLĄSKIE,DOLNOŚLĄSKIE,ZĄBKOWICKI,ZIĘBICE,1979-01-01,2019-03-15,2019-03-15,2.0,2,,
41437097145910,TOYOTA,,,COROLLA 1.8D,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1989,FABRYCZNY,1989-04-04,2004-07-26,,1839.0,,0.0,,960,,1470.0,,0.0,,,,8.0,8.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,T,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,DOLNOŚLĄSKIE,OLEŚNICKI,MIĘDZYBÓRZ,1989-04-04,2019-03-15,2019-03-15,2.0,2,,
39729450901699,PEUGEOT,,,504 D,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1973,FABRYCZNY,1973-08-13,1999-07-02,,2112.0,,,,1290,,1690.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,1973-08-13,2019-03-15,2019-03-15,2.0,2,,
7461119052360,PEUGEOT,,,504 D,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1979,FABRYCZNY,1989-06-14,1999-07-02,,2112.0,,,,1290,,1690.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,1989-06-14,2019-03-15,2019-03-15,2.0,2,,
77015674673744,VOLKSWAGEN,,,PASSAT 1.6D,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1981,FABRYCZNY,1984-07-05,2001-02-05,,1588.0,,0.0,,1170,,1690.0,,0.0,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,ŚREDZKI,ŚRODA ŚLĄSKA,DOLNOŚLĄSKIE,ŚREDZKI,UDANIN,1984-07-05,2019-03-15,2019-03-15,2.0,2,,
15504983886838,NISSAN,13.0,ZE0,LEAF,A,A03,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2017,FABRYCZNY,2017-10-13,2017-10-13,,,,80.0,,1450,,1970.0,1970.0,,,,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,,N,NISSAN INTERNATIONAL SA,2640144000005.0,,0.0,0.0,0.0,,1.0,306000.0,2019-03-12,REJESTRACJA ZA GRANICĄ - Z URZĘDU ,2019-03-12,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2017-10-13,2019-03-15,2019-03-15,,2,,
815095049519,OPEL,,,KADETT ECC,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1982,FABRYCZNY,1989-12-04,1999-08-26,,1587.0,,0.0,,950,,1455.0,,0.0,,,,8.0,8.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,1989-12-04,2019-03-15,2019-03-15,2.0,2,,
5162145467488,BMW,13.0,,I3,,,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2016,FABRYCZNY,2016-11-15,2016-11-15,,,,75.0,,1245,,1670.0,1670.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,,N,BAYERISCHE MOTOREN WERKE AG,,,1576.0,1573.0,1571.0,,,,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,ZACHODNIOPOMORSKIE,SZCZECIN,SZCZECIN,2016-11-15,2019-03-15,2019-03-15,32.0,2,,
356832465665848,TESLA,0.0,---,MODEL 3,---,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. IMPORT INDYW,ORYGINALNA,2019,FABRYCZNY,2019-02-20,2019-02-22,2019-02-20,,,153.0,,1900,,2305.0,2305.0,,,,2.0,12.0,12.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,,59690006900001.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-02-22,2019-03-15,2019-03-15,,2,,
42074703025235,MERCEDES,,,123 D,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1976,FABRYCZNY,1989-05-31,1999-07-02,,2350.0,,,,1505,,1905.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,1989-05-31,2019-03-15,2019-03-15,2.0,2,,
37563076167627,MERCEDES,,,200 D,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1988,FABRYCZNY,1990-10-01,1999-09-30,,1997.0,,,,1380,,1850.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,DOLNOŚLĄSKIE,OLEŚNICKI,MIĘDZYBÓRZ,1990-10-01,2019-03-15,2019-03-15,2.0,2,,
75622198074614,FORD,,,SIERRA,,,SAMOCHÓD OSOBOWY,KOMBI,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1984,FABRYCZNY,1991-05-31,2004-02-18,,2288.0,0.0,0.0,,0,,1675.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,LWÓWECKI,LWÓWEK ŚLĄSKI,DOLNOŚLĄSKIE,LWÓWECKI,GRYFÓW ŚLĄSKI,1991-05-31,2019-03-15,2019-03-15,2.0,2,,
86717021526021,,,,ESCORT,,,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1993,SKŁADAK,1993-11-02,2003-06-25,,1296.0,,44.0,,880,,1400.0,,0.0,,,,8.0,8.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,2008-08-01,PRZEKAZANIE POJAZDU DO DEMONTAŻU,2017-10-17,DOLNOŚLĄSKIE,TRZEBNICKI,TRZEBNICA,DOLNOŚLĄSKIE,TRZEBNICKI,OBORNIKI ŚLĄSKIE,1993-11-02,2019-03-15,2019-03-15,2.0,2,,
18680412694970,PEUGEOT,,,305 1.5D,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1981,FABRYCZNY,1991-07-03,2001-05-14,,1548.0,,0.0,,975,,1340.0,,0.0,,,,8.0,8.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,ŚREDZKI,ŚRODA ŚLĄSKA,DOLNOŚLĄSKIE,ŚWIDNICKI,STRZEGOM,1991-07-03,2019-03-15,2019-03-15,2.0,2,,
68285170898324,MERCEDES,,,BENZ 240D,,,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1977,FABRYCZNY,1991-11-19,2005-07-22,,1997.0,0.0,55.0,,1550,,1950.0,1950.0,0.0,,0.0,2.0,10.0,10.0,1500.0,0.0,5.0,5.0,0.0,ENERGIA ELEKTRYCZNA,,,,,,T,,,N,,,,,,,,,,,,,DOLNOŚLĄSKIE,LWÓWECKI,LWÓWEK ŚLĄSKI,,,,1991-11-19,2019-03-15,2019-03-15,,2,,
1578202394526,FIAT,,,146 AG 55A U,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1984,FABRYCZNY,1984-07-24,1999-07-02,,1301.0,,,,810,,1210.0,,,,,2.0,6.0,6.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,1984-07-24,2019-03-15,2019-03-15,2.0,2,,
94010870167151,MERCEDES,,,220 D,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1978,FABRYCZNY,1991-07-09,2001-01-18,,2197.0,,,,1550,,1950.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,ŚREDZKI,ŚRODA ŚLĄSKA,DOLNOŚLĄSKIE,ŚREDZKI,UDANIN,1991-07-09,2019-03-15,2019-03-15,2.0,2,,
91692693232526,MERCEDES,,,200 D,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1977,FABRYCZNY,1996-02-19,1999-09-30,,1997.0,,,,1380,,1850.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,DOLNOŚLĄSKIE,OLEŚNICKI,SYCÓW,1996-02-19,2019-03-15,2019-03-15,2.0,2,,
68872147828408,FIAT,,,138R REGATA,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1984,FABRYCZNY,1991-11-18,1999-07-02,,1929.0,,0.0,,1000,,1400.0,,0.0,,,,7.0,7.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,1991-11-18,2019-03-15,2019-03-15,2.0,2,,
51952459992416,NISSAN,13.0,ZE0,LEAF,A,A03,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2017,FABRYCZNY,2017-08-03,2018-03-16,,,,80.0,,1450,,1970.0,1970.0,,,,2.0,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,NISSAN INTERNATIONAL S.A.,2640144000005.0,,1540.0,1537.0,1535.0,,1.0,306000.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-KRZYKI,,,,2017-08-03,2019-03-15,2019-03-15,,2,,
92325557121334,BMW,,,524 TD,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1997,SKŁADAK,1997-07-10,1999-09-30,,2443.0,,,,1480,,1990.0,,,,,,15.0,15.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,WIELKOPOLSKIE,KROTOSZYŃSKI,SULMIERZYCE,1997-07-10,2019-03-15,2019-03-15,30.0,2,,
4639206069200467,FORD,11111111.0,---,C-MAX,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2013,FABRYCZNY,2013-01-01,2019-06-07,2013-01-01,1999.0,,138.0,,1496,,2250.0,,,,,2.0,11.0,11.0,1200.0,745.0,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,,2180181000000.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,TRZEBNICKI,TRZEBNICA,,,,2019-06-07,2019-07-09,2019-10-01,,2,,
4908909799945799,NISSAN,13.0,ZE0,LEAF,A,A03,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ZASTĘPCZA,2017,FABRYCZNY,2018-01-11,2018-01-11,,,,80.0,,1450,,1970.0,1970.0,,,,2.0,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,NISSAN INTERNATIONAL S.A.,2640144000005.0,,1540.0,1537.0,1535.0,,1.0,306000.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2018-01-11,2019-03-15,2019-03-15,,2,,
8162219292412712,NISSAN,,,LEAF,,,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2018-02-20,2019-03-08,,,,110.0,,1505,,1995.0,1995.0,,,1995.0,2.0,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,N,NISSAN INTERNATIONAL S.A.,,,,,,,,,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2018-02-20,2019-03-15,2019-03-15,,2,,
484962252540213,MITSUBISHI,11111111.0,---,I-MIEV,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. ZAKUPIONY W KRAJU,ZASTĘPCZA,2012,FABRYCZNY,2012-10-19,2018-06-11,2012-10-19,,,49.5,,1110,,1450.0,1450.0,,,,2.0,,,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,N,,2630086000000.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-KRZYKI,,,,2017-11-20,2019-03-15,2019-03-15,,2,,
