pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
2754470211549,JONWAY,2.0,MLN,,K,A,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2012.0,FABRYCZNY,2015-04-17,2015-04-17,,,0.0205,3.0,,146.0,,300.0,,,,,2.0,2.0,2.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,,T,,34090007000177.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,WARSZAWA,BIAŁOŁĘKA,MAZOWIECKIE,WARSZAWA,BIAŁOŁĘKA,2015-04-17,2019-03-15,2019-03-15,14.0,14,,
1190446125877669,TESLA,11111111.0,---,MODEL S,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2017.0,FABRYCZNY,2017-01-01,2019-03-07,2017-01-01,,,379.0,,2000.0,,2590.0,2590.0,,,,2.0,15.0,15.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,,59690004000000.0,,,,,,9.0,3.0,,,,MAZOWIECKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-03-01,2019-03-15,2019-03-15,,14,,
1009273002886182,JAGUAR,13.0,DH,I-PACE,A,502,SAMOCHÓD OSOBOWY,KOMBI,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018.0,FABRYCZNY,2018-12-05,2018-12-05,,,,294.0,,2212.0,,2670.0,2670.0,,,,2.0,14.0,14.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,JAGUAR LAND ROVER LIMITED,2480099000001.0,,1661.0,1651.0,1641.0,,1.0,303000.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2018-12-05,2019-03-15,2019-03-15,,14,,
2643678117261,NISSAN,13.0,,NISSAN LEAF,,,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2015.0,FABRYCZNY,2015-09-23,2015-09-23,,,,80.0,,1430.0,,1945.0,1945.0,,,1945.0,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,,N,NISSAN INTERNATIONAL SA,,,1540.0,1037.0,1535.0,,,,,,,MAZOWIECKIE,WARSZAWA,URSYNÓW,MAZOWIECKIE,WARSZAWA,WARSZAWA,2015-09-23,2019-04-08,2019-04-08,14.0,14,,
8827782457015206,BMW I,13.0,BMWI-1,I3,7Z21,0AW40000,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018.0,FABRYCZNY,2019-03-22,2019-03-22,,,,125.0,,1245.0,,1670.0,1670.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,BAYERISCHE MOTOREN WERKE AG,71470000000026.0,,1576.0,1573.0,1571.0,,1.0,301000.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2019-03-22,2019-04-08,2019-04-08,,14,,
82585333293533,OPEL,,---,ASTRA,---,---,SAMOCHÓD CIĘŻAROWY,KOMBI,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2001.0,FABRYCZNY,2001-12-03,2011-02-15,,0.0,,14.39,,1410.0,,1710.0,1710.0,300.0,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,2240017000000.0,,,,,,9.0,6.0,,,,MAZOWIECKIE,WARSZAWA,PRAGA-PÓŁNOC,MAZOWIECKIE,WARSZAWA,WARSZAWA,2001-12-03,2019-04-08,2019-04-08,14.0,14,144.0,
5904452582021251,,2.0,CUX,---,1,1,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2019.0,FABRYCZNY,2019-09-02,2019-09-02,,,,,,64.0,,227.0,,,,,2.0,2.0,2.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,"WUXI JIETONG AUTOCYCLE CO., LTD.",92850000000004.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,WARSZAWA,WAWER,,,,2019-09-02,2019-09-30,2019-09-30,,14,,
4675521792162215,BMW,11111111.0,---,I3,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2013.0,FABRYCZNY,2013-11-13,2019-05-02,2013-11-13,,,125.0,,1270.0,,1620.0,1620.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,,2160278000000.0,,,,,,9.0,3.0,,,,MAZOWIECKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-05-02,2019-09-30,2019-09-30,,14,,
830426956209251,YADEA,3.0,YD1200D-08,C-LINE,0,00,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2019.0,FABRYCZNY,2019-09-03,2019-09-03,,,0.0194,1.2,,62.0,,223.0,,,,,2.0,1.0,1.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,"YADEA TECHNOLOGY GROUP CO., LTD.",72040006000001.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2019-09-03,2019-09-30,2019-09-30,,14,,
5514391159300086,YADEA,2.0,YD1200D-08,C-LINE,0,00,MOTOROWER,---,---,NOWY IMPORT INDYW,ORYGINALNA,2019.0,FABRYCZNY,2019-09-02,2019-09-02,,,0.0194,1.2,,62.0,,223.0,,,,,2.0,1.0,1.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,"YADEA TECHNOLOGY GROUP CO., LTD.",72040006000002.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2019-09-02,2019-09-30,2019-09-30,,14,,
3113470310324329,,6.0,1,EVA,V***A,EVA,MOTOCYKL,OSOBOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2019.0,FABRYCZNY,2019-09-26,2019-09-26,,,0.6815,107.0,,157.0,,458.0,,,,,2.0,4.0,4.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,,106340000000001.0,,,,,,1.0,201000.0,,,,MAZOWIECKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-09-26,2019-09-30,2019-09-30,,14,,
6667623528190388,BMW,11111111.0,---,I3,---,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. IMPORT INDYW,ORYGINALNA,2018.0,FABRYCZNY,2018-11-12,2019-09-12,2018-11-12,,,,,1345.0,,1710.0,1710.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,,2160278000000.0,,,,,,9.0,3.0,,,,MAZOWIECKIE,WARSZAWA,WILANÓW,,,,2019-09-12,2019-09-30,2019-09-30,,14,,
